idx,code,parent_code,depth,height,children_b,descendants_S,subtree_size,n_siblings,is_leaf,A_cumul_anc_logb,sector_share,b_eff,angular_log1p_b,radial_logS_over_h,k_orig_allnorm,mult_orig_allnorm,k_children_int,mult_children_int,k_desc_int,mult_desc_int,k_sustained_int,mult_sustained_int,k_pos_B1,mult_pos_B1,k_margin,mult_margin,norm_s1,norm_s3,norm_s8
0,ROOT,,0,7,22,46816,46817,1,False,0.0,1.0,4.6473,3.1355,1.5363,0.5555,0.3292,1.0,0.1353,1.0,0.1353,-0.3624,2.0644,-0.2004,1.4931,-1.0,7.3891,0.0,0.0,0.0
1,CH1,ROOT,1,5,22,1329,1330,22,False,3.1355,0.0434782609,4.2147,3.1355,1.4386,0.5555,0.3292,1.0,0.1353,1.0,0.1353,-0.4792,2.6077,1.0,0.1353,-1.0,7.3891,0.9007,0.7156,0.48
1331,CH2,ROOT,1,6,23,2197,2198,22,False,3.1355,0.0434782609,3.6058,3.1781,1.2826,0.598,0.3024,1.0,0.1353,1.0,0.1353,-0.6499,3.6685,1.0,0.1353,-1.0,7.3891,0.8993,0.7287,0.4071
3529,CH3,ROOT,1,5,7,405,406,22,False,3.1355,0.0434782609,3.3243,2.0794,1.2013,-0.3158,1.8808,0.35,0.4966,1.0,0.1353,-0.731,4.3148,1.0,0.1353,-1.0,7.3891,0.916,0.7212,0.4328
3935,CH4,ROOT,1,5,10,992,993,22,False,3.1355,0.0434782609,3.9755,2.3979,1.3801,-0.0902,1.1978,0.8508,0.1824,1.0,0.1353,-0.5454,2.9769,1.0,0.1353,-1.0,7.3891,0.9179,0.716,0.471
4928,CH5,ROOT,1,5,11,1123,1124,22,False,3.1355,0.0434782609,4.0752,2.4849,1.4049,-0.023,1.0471,1.0,0.1353,1.0,0.1353,-0.5177,2.8162,1.0,0.1353,-1.0,7.3891,0.9123,0.7138,0.4591
6052,CH6,ROOT,1,6,11,931,932,22,False,3.1355,0.0434782609,3.1254,2.4849,1.1396,-0.023,1.0471,1.0,0.1353,1.0,0.1353,-0.7891,4.8462,1.0,0.1353,-1.0,7.3891,0.9112,0.7427,0.4652
6984,CH7,ROOT,1,6,12,3209,3210,22,False,3.1355,0.0434782609,3.8408,2.5649,1.3457,0.0409,0.9214,1.0,0.1353,1.0,0.1353,-0.5832,3.2105,1.0,0.1353,-1.0,7.3891,0.9038,0.7058,0.4532
10194,CH8,ROOT,1,5,5,876,877,22,False,3.1355,0.0434782609,3.8779,1.7918,1.3553,-0.492,2.6754,-0.0412,1.0858,1.0,0.1353,-0.5728,3.1441,1.0,0.1353,-1.0,7.3891,0.9359,0.7015,0.4295
11071,CH9,ROOT,1,5,10,1803,1804,22,False,3.1355,0.0434782609,4.4797,2.3979,1.4996,-0.0902,1.1978,0.8508,0.1824,1.0,0.1353,-0.4072,2.258,1.0,0.1353,-1.0,7.3891,0.9004,0.7036,0.4512
12875,CH10,ROOT,1,6,11,482,483,22,False,3.1355,0.0434782609,2.8011,2.4849,1.03,-0.023,1.0471,1.0,0.1353,1.0,0.1353,-0.8846,5.8664,1.0,0.1353,-1.0,7.3891,0.9138,0.7219,0.438
13358,CH11,ROOT,1,6,10,1119,1120,22,False,3.1355,0.0434782609,3.2226,2.3979,1.1702,-0.0902,1.1978,0.8508,0.1824,1.0,0.1353,-0.7607,4.5783,1.0,0.1353,-1.0,7.3891,0.9045,0.7019,0.4673
14478,CH12,ROOT,1,5,9,1081,1082,22,False,3.1355,0.0434782609,4.0443,2.3026,1.3973,-0.1611,1.3802,0.6934,0.2499,1.0,0.1353,-0.5263,2.865,1.0,0.1353,-1.0,7.3891,0.9189,0.7135,0.4557
15560,CH13,ROOT,1,5,24,7123,7124,22,False,3.1355,0.0434782609,5.8958,3.2189,1.7742,0.6394,0.2784,1.0,0.1353,1.0,0.1353,-0.0458,1.0959,1.0,0.1353,-1.0,7.3891,0.9221,0.6985,0.4418
22684,CH14,ROOT,1,5,11,1048,1049,22,False,3.1355,0.0434782609,4.0193,2.4849,1.3911,-0.023,1.0471,1.0,0.1353,1.0,0.1353,-0.5332,2.905,1.0,0.1353,-1.0,7.3891,0.9109,0.7355,0.4478
23733,CH15,ROOT,1,5,9,1800,1801,22,False,3.1355,0.0434782609,4.4782,2.3026,1.4992,-0.1611,1.3802,0.6934,0.2499,1.0,0.1353,-0.4076,2.2598,1.0,0.1353,-1.0,7.3891,0.9073,0.7028,0.4382
25534,CH16,ROOT,1,5,12,577,578,22,False,3.1355,0.0434782609,3.5677,2.5649,1.2719,0.0409,0.9214,1.0,0.1353,1.0,0.1353,-0.6608,3.7495,1.0,0.1353,-1.0,7.3891,0.9041,0.7239,0.4652
26112,CH17,ROOT,1,5,11,1066,1067,22,False,3.1355,0.0434782609,4.033,2.4849,1.3945,-0.023,1.0471,1.0,0.1353,1.0,0.1353,-0.5294,2.883,1.0,0.1353,-1.0,7.3891,0.8929,0.7097,0.4611
27179,CH18,ROOT,1,5,14,857,858,22,False,3.1355,0.0434782609,3.861,2.7081,1.3509,0.1603,0.7257,1.0,0.1353,1.0,0.1353,-0.5775,3.1742,1.0,0.1353,-1.0,7.3891,0.8993,0.7244,0.4532
28037,CH19,ROOT,1,6,24,13280,13281,22,False,3.1355,0.0434782609,4.8664,3.2189,1.5823,0.6394,0.2784,1.0,0.1353,1.0,0.1353,-0.3047,1.8392,1.0,0.1353,-1.0,7.3891,0.8952,0.6673,0.3049
41318,CH20,ROOT,1,5,34,3659,3660,22,False,3.1355,0.0434782609,5.1606,3.5553,1.641,1.0,0.1353,1.0,0.1353,1.0,0.1353,-0.2286,1.5798,1.0,0.1353,-1.0,7.3891,0.9115,0.7273,0.4956
44978,CH21,ROOT,1,6,15,1831,1832,22,False,3.1355,0.0434782609,3.498,2.7726,1.2522,0.2163,0.6488,1.0,0.1353,1.0,0.1353,-0.6808,3.9025,1.0,0.1353,-1.0,7.3891,0.9039,0.7248,0.4623
46810,CH22,ROOT,1,3,1,6,7,22,False,3.1355,0.0434782609,1.9129,0.6931,0.6486,-0.924,6.3469,-1.0,7.3891,-0.8095,5.0485,-1.0,7.3891,0.657,0.2688,-1.0,7.3891,0.9541,0.6849,0.4064
2,SEC_A00-A09,CH1,2,3,10,94,95,22,False,6.271,0.0018903592,4.5629,2.3979,1.518,-0.0902,1.1978,0.8508,0.1824,0.442,0.4131,-0.3849,2.1594,1.0,0.1353,-1.0,7.3891,0.9367,0.7996,0.6163
97,SEC_A15-A19,CH1,2,3,4,61,62,22,False,6.271,0.0018903592,3.9579,1.6094,1.3757,-0.5902,3.2554,-0.259,1.6786,0.1685,0.714,-0.5504,3.0063,0.8109,0.1975,-1.0,7.3891,0.9441,0.7729,0.5763
159,SEC_A20-A28,CH1,2,3,9,57,58,22,False,6.271,0.0018903592,3.8709,2.3026,1.3535,-0.1611,1.3802,0.6934,0.2499,0.1282,0.7739,-0.5747,3.1565,1.0,0.1353,-1.0,7.3891,0.933,0.8157,0.6441
217,SEC_A30-A49,CH1,2,3,18,144,145,22,False,6.271,0.0018903592,5.2536,2.9444,1.6589,0.3717,0.4755,1.0,0.1353,0.7395,0.2279,-0.2049,1.5066,1.0,0.1353,-1.0,7.3891,0.9434,0.7721,0.5636
362,SEC_A50-A64,CH1,2,3,13,169,170,22,False,6.271,0.0018903592,5.5397,2.6391,1.7119,0.102,0.8155,1.0,0.1353,0.8583,0.1797,-0.1331,1.305,1.0,0.1353,-1.0,7.3891,0.9506,0.7364,0.5372
532,SEC_A65-A69,CH1,2,3,5,33,34,22,False,6.271,0.0018903592,3.2396,1.7918,1.1755,-0.492,2.6754,-0.0412,1.0858,-0.171,1.4078,-0.7557,4.533,0.94,0.1526,-1.0,7.3891,0.9455,0.8288,0.6241
566,SEC_A70-A74,CH1,2,3,3,11,12,22,False,6.271,0.0018903592,2.2894,1.3863,0.8283,-0.6959,4.0223,-0.4938,2.6845,-0.6332,3.5482,-1.0,7.3891,0.657,0.2688,-1.0,7.3891,0.9557,0.869,0.6707
578,SEC_A75-A79,CH1,2,3,4,26,27,22,False,6.271,0.0018903592,3.0,1.6094,1.0986,-0.5902,3.2554,-0.259,1.6786,-0.2871,1.7758,-0.8259,5.2166,0.8109,0.1975,-1.0,7.3891,0.9508,0.807,0.5987
605,SEC_A80-A89,CH1,2,3,10,60,61,22,False,6.271,0.0018903592,3.9365,2.3979,1.3703,-0.0902,1.1978,0.8508,0.1824,0.1586,0.7282,-0.5563,3.0425,1.0,0.1353,-1.0,7.3891,0.9467,0.7784,0.5825
666,SEC_A90-A99,CH1,2,3,9,40,41,22,False,6.271,0.0018903592,3.4482,2.3026,1.2379,-0.1611,1.3802,0.6934,0.2499,-0.0709,1.1524,-0.6952,4.0162,1.0,0.1353,-1.0,7.3891,0.9577,0.8341,0.6268
