idx,code,parent_code,type,chapter,section,depth,branching_factor,subtree_size,is_leaf,description
0,ROOT,,root,,,0,22,46816,0,ICD-10-CM root
1,CH1,ROOT,chapter,1,,1,22,1329,0,Certain infectious and parasitic diseases (A00-B99)
2,SEC_A00-A09,CH1,section,1,SEC_A00-A09,2,10,94,0,Intestinal infectious diseases (A00-A09)
3,A00,SEC_A00-A09,diagnosis,1,SEC_A00-A09,3,3,3,0,Cholera
4,A00.0,A00,diagnosis,1,SEC_A00-A09,4,0,0,1,"Cholera due to Vibrio cholerae 01, biovar cholerae"
5,A00.1,A00,diagnosis,1,SEC_A00-A09,4,0,0,1,"Cholera due to Vibrio cholerae 01, biovar eltor"
6,A00.9,A00,diagnosis,1,SEC_A00-A09,4,0,0,1,"Cholera, unspecified"
7,A01,SEC_A00-A09,diagnosis,1,SEC_A00-A09,3,5,12,0,Typhoid and paratyphoid fevers
8,A01.0,A01,diagnosis,1,SEC_A00-A09,4,7,7,0,Typhoid fever
9,A01.00,A01.0,diagnosis,1,SEC_A00-A09,5,0,0,1,"Typhoid fever, unspecified"
10,A01.01,A01.0,diagnosis,1,SEC_A00-A09,5,0,0,1,Typhoid meningitis
11,A01.02,A01.0,diagnosis,1,SEC_A00-A09,5,0,0,1,Typhoid fever with heart involvement
12,A01.03,A01.0,diagnosis,1,SEC_A00-A09,5,0,0,1,Typhoid pneumonia
13,A01.04,A01.0,diagnosis,1,SEC_A00-A09,5,0,0,1,Typhoid arthritis
14,A01.05,A01.0,diagnosis,1,SEC_A00-A09,5,0,0,1,Typhoid osteomyelitis
15,A01.09,A01.0,diagnosis,1,SEC_A00-A09,5,0,0,1,Typhoid fever with other complications
16,A01.1,A01,diagnosis,1,SEC_A00-A09,4,0,0,1,Paratyphoid fever A
17,A01.2,A01,diagnosis,1,SEC_A00-A09,4,0,0,1,Paratyphoid fever B
18,A01.3,A01,diagnosis,1,SEC_A00-A09,4,0,0,1,Paratyphoid fever C
19,A01.4,A01,diagnosis,1,SEC_A00-A09,4,0,0,1,"Paratyphoid fever, unspecified"
20,A02,SEC_A00-A09,diagnosis,1,SEC_A00-A09,3,5,12,0,Other salmonella infections
21,A02.0,A02,diagnosis,1,SEC_A00-A09,4,0,0,1,Salmonella enteritis
22,A02.1,A02,diagnosis,1,SEC_A00-A09,4,0,0,1,Salmonella sepsis
23,A02.2,A02,diagnosis,1,SEC_A00-A09,4,7,7,0,Localized salmonella infections
24,A02.20,A02.2,diagnosis,1,SEC_A00-A09,5,0,0,1,"Localized salmonella infection, unspecified"
25,A02.21,A02.2,diagnosis,1,SEC_A00-A09,5,0,0,1,Salmonella meningitis
26,A02.22,A02.2,diagnosis,1,SEC_A00-A09,5,0,0,1,Salmonella pneumonia
27,A02.23,A02.2,diagnosis,1,SEC_A00-A09,5,0,0,1,Salmonella arthritis
28,A02.24,A02.2,diagnosis,1,SEC_A00-A09,5,0,0,1,Salmonella osteomyelitis
29,A02.25,A02.2,diagnosis,1,SEC_A00-A09,5,0,0,1,Salmonella pyelonephritis
30,A02.29,A02.2,diagnosis,1,SEC_A00-A09,5,0,0,1,Salmonella with other localized infection
31,A02.8,A02,diagnosis,1,SEC_A00-A09,4,0,0,1,Other specified salmonella infections
32,A02.9,A02,diagnosis,1,SEC_A00-A09,4,0,0,1,"Salmonella infection, unspecified"
33,A03,SEC_A00-A09,diagnosis,1,SEC_A00-A09,3,6,6,0,Shigellosis
34,A03.0,A03,diagnosis,1,SEC_A00-A09,4,0,0,1,Shigellosis due to Shigella dysenteriae
35,A03.1,A03,diagnosis,1,SEC_A00-A09,4,0,0,1,Shigellosis due to Shigella flexneri
36,A03.2,A03,diagnosis,1,SEC_A00-A09,4,0,0,1,Shigellosis due to Shigella boydii
37,A03.3,A03,diagnosis,1,SEC_A00-A09,4,0,0,1,Shigellosis due to Shigella sonnei
