path,size_mb,family,notebook,MAP,mean_rank,median_rank,distortion,dim,extra
results/dim_runs/c_node.npy,0.37,"curvature feature vectors (inputs, not results)",notebooks/07,,,,,,
results/dim_runs/const_d10.pt,1.88,"phase-4 converged runs (lr 50, long training)",notebooks/06,,,,,,"{""ep"": 3000}"
results/dim_runs/const_d2.pt,0.38,"phase-4 converged runs (lr 50, long training)",notebooks/06,,,,,,"{""ep"": 3000}"
results/dim_runs/const_d5.pt,0.94,"phase-4 converged runs (lr 50, long training)",notebooks/06,,,,,,"{""ep"": 3000}"
results/dim_runs/d5hi_const_x12.0_seed0.pt,0.94,"d5hi: d=5 at high tau (8, 12)",notebooks/08,0.558104139302666,44.416,6.0,0.12323179076446343,,{}
results/dim_runs/d5hi_const_x12.0_seed1.pt,0.94,"d5hi: d=5 at high tau (8, 12)",notebooks/08,0.5736953213684324,37.5,6.0,0.12392740292714063,,{}
results/dim_runs/d5hi_const_x12.0_seed2.pt,0.94,"d5hi: d=5 at high tau (8, 12)",notebooks/08,0.5846120147124115,39.723,6.0,0.12755837247407265,,{}
results/dim_runs/d5hi_const_x8.0_seed0.pt,0.94,"d5hi: d=5 at high tau (8, 12)",notebooks/08,0.778116096129355,11.65,4.0,0.12618192607887033,,{}
results/dim_runs/d5hi_const_x8.0_seed1.pt,0.94,"d5hi: d=5 at high tau (8, 12)",notebooks/08,0.7918124624955654,10.238,4.0,0.12288476879132264,,{}
results/dim_runs/d5hi_const_x8.0_seed2.pt,0.94,"d5hi: d=5 at high tau (8, 12)",notebooks/08,0.7966726018775981,10.914,4.0,0.13053909874577704,,{}
results/dim_runs/deeperlearned_lineint_d10.pt,1.87,"phase-4 converged runs (lr 50, long training)",notebooks/06,,,,,,"{""ep"": 3000, ""best"": 0.9231638361783966}"
results/dim_runs/deeperlearned_lineint_d2.pt,0.38,"phase-4 converged runs (lr 50, long training)",notebooks/06,,,,,,"{""ep"": 3000, ""best"": 0.6226623695744572}"
results/dim_runs/deeperlearned_lineint_d5.pt,0.94,"phase-4 converged runs (lr 50, long training)",notebooks/06,,,,,,"{""ep"": 3000, ""best"": 0.6560731600891545}"
results/dim_runs/dimtemp_const_d2_x1.0.pt,0.38,dimtemp: early single-seed dimension x temperature grid,notebooks/07,0.5998885991265693,1338.2,4.0,0.1968631655336406,,{}
results/dim_runs/dimtemp_const_d2_x2.23.pt,0.38,dimtemp: early single-seed dimension x temperature grid,notebooks/07,0.48571646634571164,470.688,6.0,0.2239473479893358,,{}
results/dim_runs/dimtemp_const_d2_x5.0.pt,0.38,dimtemp: early single-seed dimension x temperature grid,notebooks/07,0.27916527635828664,98.896,12.0,0.16074471179265293,,{}
results/dim_runs/dimtemp_const_d5_x1.0.pt,0.94,dimtemp: early single-seed dimension x temperature grid,notebooks/07,0.7427540271555099,249.101,3.0,0.11515361021854352,,{}
results/dim_runs/dimtemp_const_d5_x2.23.pt,0.94,dimtemp: early single-seed dimension x temperature grid,notebooks/07,0.7148491746651061,37.448,4.0,0.11756502983007314,,{}
results/dim_runs/dimtemp_const_d5_x5.0.pt,0.94,dimtemp: early single-seed dimension x temperature grid,notebooks/07,0.7998182951528682,11.378,4.0,0.12505984923628488,,{}
results/dim_runs/dimtemp_graded_d2_x1.0.pt,0.38,dimtemp: early single-seed dimension x temperature grid,notebooks/07,0.5364824266403705,742.072,5.0,0.26582946623622467,,{}
results/dim_runs/dimtemp_graded_d2_x2.23.pt,0.38,dimtemp: early single-seed dimension x temperature grid,notebooks/07,0.20662855655763127,599.285,23.0,0.17426697028340477,,{}
results/dim_runs/dimtemp_graded_d2_x5.0.pt,0.38,dimtemp: early single-seed dimension x temperature grid,notebooks/07,0.04977863147064839,3376.431,189.0,0.2329254453845338,,{}
results/dim_runs/dimtemp_graded_d5_x1.0.pt,0.94,dimtemp: early single-seed dimension x temperature grid,notebooks/07,0.8161309489533162,443.294,3.0,0.15463881202335023,,{}
results/dim_runs/dimtemp_graded_d5_x2.23.pt,0.94,dimtemp: early single-seed dimension x temperature grid,notebooks/07,0.8409460843870378,136.627,3.0,0.1494003321231774,,{}
results/dim_runs/dimtemp_graded_d5_x5.0.pt,0.94,dimtemp: early single-seed dimension x temperature grid,notebooks/07,0.6525273931260847,2088.624,3.0,0.20216909824973026,,{}
results/dim_runs/euclid_d10.pt,5.62,"phase-4 converged runs (lr 50, long training)",notebooks/06,,,,,,"{""ep"": 3000}"
results/dim_runs/euclid_d2.pt,1.13,"phase-4 converged runs (lr 50, long training)",notebooks/06,,,,,,"{""ep"": 3000}"
results/dim_runs/euclid_d5.pt,2.81,"phase-4 converged runs (lr 50, long training)",notebooks/06,,,,,,"{""ep"": 3000}"
results/dim_runs/go_const_x1.0.pt,1.53,go: Gene Ontology temperature sweep,notebooks/08,0.29804127678269915,3211.474,586.5,0.2405856831206863,,{}
results/dim_runs/go_const_x2.23.pt,1.53,go: Gene Ontology temperature sweep,notebooks/08,0.3036557851146305,1568.187,76.0,0.23075482570221018,,{}
results/dim_runs/go_const_x3.0.pt,1.53,go: Gene Ontology temperature sweep,notebooks/08,0.341515256231448,1006.923,33.0,0.22981226120000664,,{}
